No,City,State,Type,Population,Population class
366,Shrirampur,Maharashtra,Urban Agglomeration,pop,
367,Rudrapur,Uttarakhand,Municipal board,pop,
368,Parli,Maharashtra,Municipal Council,pop,
369,Najibabad,Uttar Pradesh,Municipal board,pop,Class II
370,Nirmal,Telangana,Municipality,pop,Class II
371,Udhagamandalam,Tamil Nadu,Municipality,pop,Class II
372,Shikohabad,Uttar Pradesh,Municipal board,pop,
373,Jhumri Tilaiya,Jharkhand,Nagar Panchayat,pop,Class II
374,Aruppukkottai,Tamil Nadu,Municipality,pop,Class II
375,Ponnani,Kerala,Municipality,pop,
376,Jamui,Bihar,Nagar Panchayat,pop,Class II
377,Sitamarhi,Bihar,Urban Agglomeration,pop,
378,Chirala,Andhra Pradesh,Municipality,pop,Class II
379,Anjar,Gujarat,Municipality,pop,Class II
380,Karaikal,Puducherry,Municipality,pop,Class II
381,Hansi,Haryana,Municipal Council,pop,Class II
382,Anakapalle,Andhra Pradesh,Municipality,pop,Class II
383,Mahasamund,Chhattisgarh,Municipality,85650,Class II
384,Faridkot,Punjab,Municipal Council,pop,Class II
385,Saunda,Jharkhand,Census town,pop,
386,Dhoraji,Gujarat,Municipality,pop,Class II
387,Paramakudi,Tamil Nadu,Municipality,pop,
388,Balaghat,Madhya Pradesh,Municipality,pop,Class II
389,Sujangarh,Rajasthan,Municipality,pop,
390,Khambhat,Gujarat,Municipality,pop,Class II
391,Muktsar,Punjab,Municipal Council,pop,
392,Rajpura,Punjab,Municipal Council,pop,
393,Kavali,Andhra Pradesh,Municipality,pop,Class II
394,Dhamtari,Chhattisgarh,Municipality,pop,Class II
395,Ashok Nagar,Madhya Pradesh,Municipality,pop,Class II
396,Sardarshahar,Rajasthan,Municipality,pop,
397,Mahuva,Gujarat,Urban Agglomeration,pop,
398,Bargarh,Odisha,Municipality,pop,Class II
399,Kamareddy,Telangana,Municipality,pop,Class II
400,Sahibganj,Jharkhand,Municipality,pop,
401,Kothagudem,Telangana,Municipality,pop,Class II
402,Ramanagaram,Karnataka,City Municipal Council,pop,
403,Gokak,Karnataka,City Municipal Council,pop,Class II
404,Tikamgarh,Madhya Pradesh,Municipality,pop,Class II
405,Araria,Bihar,Nagar Panchayat.,pop,Class II
406,Rishikesh,Uttarakhand,Urban Agglomeration,pop,
407,Shahdol,Madhya Pradesh,Municipality,pop,
408,Medininagar (Daltonganj),Jharkhand,Nagar Parishad,pop,Class II
409,Arakkonam,Tamil Nadu,Municipality,pop,Class II
410,Washim,Maharashtra,Municipal Council,pop,Class II
411,Sangrur,Punjab,Municipal Council,pop,
412,Bodhan,Telangana,Municipality,pop,Class II
413,Fazilka,Punjab,Municipal Council,pop,Class II
414,Palacole,Andhra Pradesh,Urban Agglomeration,pop,
415,Keshod,Gujarat,Municipality,pop,Class II
416,Sullurpeta,Andhra Pradesh,Municipality,pop,
417,Wadhwan,Gujarat,Municipality,pop,Class II
418,Gurdaspur,Punjab,Municipal Council,pop,Class II
419,Vatakara,Kerala,Municipality,pop,Class II
420,Tura,Meghalaya,Municipality,pop,Class II
421,Narnaul,Haryana,Municipal Council,pop,Class II
422,Kharar,Punjab,Municipal Council,pop,Class II
423,Yadgir,Karnataka,City Municipal Council,pop,Class II
424,Ambejogai,Maharashtra,Municipal Council,pop,Class II
425,Ankleshwar,Gujarat,Municipality,pop,Class II
426,Savarkundla,Gujarat,Municipality,pop,
427,Paradip,Odisha,Notified area committee / Notified Area Council,pop,
428,Virudhachalam,Tamil Nadu,Municipality,pop,Class II
429,Kanhangad,Kerala,Municipality,pop,Class II
430,Kadi,Gujarat,Municipality,pop,Class II
431,Srivilliputhur,Tamil Nadu,Municipality,pop,
432,Gobindgarh,Punjab,Municipal Council,pop,Class II
433,Tindivanam,Tamil Nadu,Municipality,pop,Class II
434,Mansa,Punjab,Municipal Council,pop,
435,Taliparamba,Kerala,Municipality,pop,Class II
436,Manmad,Maharashtra,Municipal Council,pop,
437,Tanuku,Andhra Pradesh,Municipality,pop,Class II
438,Rayachoti,Andhra Pradesh,Census town,pop,
439,Virudhunagar,Tamil Nadu,Municipality,pop,Class II
440,Koyilandy,Kerala,Municipality,pop,Class II
441,Jorhat,Assam,Municipal board,pop,Class II
442,Karur,Tamil Nadu,Municipality,pop,Class II
443,Valparai,Tamil Nadu,Municipality,pop,Class II
444,Srikalahasti,Andhra Pradesh,Municipality,pop,
445,Neyyattinkara,Kerala,Municipality,pop,Class II
446,Bapatla,Andhra Pradesh,Municipality,pop,Class II
447,Fatehabad,Haryana,Municipal Council,pop,Class II
448,Malout,Punjab,Municipal Council,pop,
449,Sankarankovil,Tamil Nadu,Municipality,pop,Class II
450,Tenkasi,Tamil Nadu,Municipality,pop,Class II
451,Ratnagiri,Maharashtra,Municipal Council,pop,
452,Rabkavi Banhatti,Karnataka,City Municipal Council,pop,
453,Sikandrabad,Uttar Pradesh,Municipal board,pop,
454,Chaibasa,Jharkhand,Nagar Palika Parishad,pop,Class II
455,Chirmiri,Chhattisgarh,Municipal Corporation / Corporation.,pop,Class II
456,Palwancha,Telangana,Municipality,pop,
457,Bhawanipatna,Odisha,Municipality,pop,Class II
458,Kayamkulam,Kerala,Municipality,pop,Class II
459,Pithampur,Madhya Pradesh,Nagar Panchayat,pop,
460,Nabha,Punjab,Municipal Council,pop,Class II
461,pop,
462,Dhenkanal,Odisha,Municipality,pop,Class II
463,Uran Islampur,Maharashtra,Municipal Council,pop,Class II
464,Gopalganj,Bihar,Nagar Panchayat,pop,Class II
465,Bongaigaon City,Assam,Municipal board,pop,Class II
466,Palani,Tamil Nadu,Municipality,pop,
467,Pusad,Maharashtra,Municipal Council,pop,
468,Sopore,Jammu and Kashmir,Urban Agglomeration,pop,
469,Pilkhuwa,Uttar Pradesh,Municipal board,pop,
470,Tarn Taran,Punjab,Municipal Council,pop,Class II
471,Renukoot,Uttar Pradesh,Urban Agglomeration,pop,
472,Mandamarri,Telangana,Municipality,pop,
473,Shahabad,Karnataka,Urban Agglomeration,pop,
474,Barbil,Odisha,Municipality,pop,Class II
475,Koratla,Telangana,Municipality,pop,Class II
476,Madhubani,Bihar,Municipality,pop,
477,Arambagh,West Bengal,Municipality,pop,Class II
478,Gohana,Haryana,Municipal Committee,pop,Class II
479,Ladnu,Rajasthan,Municipality,pop,Class II
480,Pattukkottai,Tamil Nadu,Municipality,pop,
481,Sirsi,Karnataka,Urban Agglomeration,pop,
482,Sircilla,Telangana,Municipality,pop,
483,Tamluk,West Bengal,Municipality,pop,Class II
484,Jagraon,Punjab,Municipal Council,pop,Class II
485,AlipurdUrban Agglomerationr,West Bengal,Municipality,pop,Class II
486,Alirajpur,Madhya Pradesh,Municipality,pop,Class II
487,Tandur,Telangana,Municipality,pop,Class II
488,Naidupet,Andhra Pradesh,Municipality,pop,Class II
489,Tirupathur,Tamil Nadu,Municipality,pop,Class II
490,Tohana,Haryana,Municipal Committee,pop,Class II
491,Ratangarh,Rajasthan,Municipality,pop,
492,Dhubri,Assam,Municipal board,pop,Class II
493,Masaurhi,Bihar,Nagar Parishad,pop,
494,Visnagar,Gujarat,Municipality,pop,Class II
495,Vrindavan,Uttar Pradesh,Municipal board,pop,Class II
496,Nokha,Rajasthan,Municipality,pop,Class II
497,Nagari,Andhra Pradesh,Municipality,pop,Class II
498,Narwana,Haryana,Municipal Council,pop,Class II
499,Ramanathapuram,Tamil Nadu,Municipality,pop,
500,Ujhani,Uttar Pradesh,Nagar Palika Parishad.,pop,Class II
501,Samastipur,Bihar,Urban Agglomeration,pop,
502,Laharpur,Uttar Pradesh,Nagar Palika Parishad,pop,Class II
503,Sangamner,Maharashtra,Municipal Council,pop,
504,Nimbahera,Rajasthan,Municipality,pop,Class II
505,Siddipet,Telangana,Municipality,pop,
506,Suri,West Bengal,Municipality,pop,
507,Diphu,Assam,Town Committee / Town Area Committee,pop,Class II
508,Jhargram,West Bengal,Municipality,pop,Class II
509,Shirpur-Warwade,Maharashtra,Municipal Council,pop,
510,Tilhar,Uttar Pradesh,Nagar Palika Parishad.,pop,Class II
511,Sindhnur,Karnataka,Town Municipal Council,pop,
512,Udumalaipettai,Tamil Nadu,Municipality,pop,Class II
513,Malkapur,Maharashtra,Municipal Council,pop,
514,Wanaparthy,Telangana,Municipality,pop,Class II
515,Gudur,Andhra Pradesh,Municipality,pop,Class II
516,Kendujhar,Odisha,Municipality,pop,Class II
517,Mandla,Madhya Pradesh,Urban Agglomeration,pop,
518,Mandi,Himachal Pradesh,Municipal Council,pop,
519,Nedumangad,Kerala,Municipality,pop,Class II
520,North Lakhimpur,Assam,Municipal board,pop,Class II
521,Vinukonda,Andhra Pradesh,Municipality,pop,Class II
522,Tiptur,Karnataka,City Municipal Council,pop,Class II
523,Gobichettipalayam,Tamil Nadu,Municipality,pop,Class II
524,Sunabeda,Odisha,Notified area committee / Notified Area Council,pop,
525,Wani,Maharashtra,Municipal Council,pop,Class II
526,Upleta,Gujarat,Municipality,pop,Class II
527,Narasapuram,Andhra Pradesh,Municipality,pop,Class II
528,Nuzvid,Andhra Pradesh,Municipality,pop,Class II
529,Tezpur,Assam,Municipal board.,pop,Class II
530,Una,Gujarat,Municipality,pop,Class II
531,Markapur,Andhra Pradesh,Municipality,pop,
532,Sheopur,Madhya Pradesh,Urban Agglomeration,pop,
533,Thiruvarur,Tamil Nadu,Municipality,pop,Class II
534,Sidhpur,Gujarat,Urban Agglomeration,pop,
535,Sahaswan,Uttar Pradesh,Municipal board,pop,
536,Suratgarh,Rajasthan,Municipality,pop,
537,Shajapur,Madhya Pradesh,Urban Agglomeration,pop,
538,Rayagada,Odisha,Municipality,pop,
539,Lonavla,Maharashtra,Municipal Council,pop,Class II
540,Ponnur,Andhra Pradesh,Municipality,pop,
541,Kagaznagar,Telangana,Municipality,pop,Class II
542,Gadwal,Telangana,Municipality,pop,Class II
543,Bhatapara,Chhattisgarh,Municipality,pop,Class II
544,Kandukur,Andhra Pradesh,Municipality,pop,Class II
545,Sangareddy,Telangana,Municipality,pop,
546,Unjha,Gujarat,Municipality,pop,Class II
547,Lunglei,Mizoram,Notified Town,pop,Class II
548,Karimganj,Assam,Municipal board,pop,Class II
549,Kannur,Kerala,Municipality,pop,Class II
550,Bobbili,Andhra Pradesh,Municipality,pop,Class II
551,Mokameh,Bihar,Municipality,pop,
552,Talegaon Dabhade,Maharashtra,Municipal Council,pop,Class II
553,Anjangaon,Maharashtra,Municipal Council,pop,Class II
554,Mangrol,Gujarat,Urban Agglomeration,pop,
555,Sunam,Punjab,Urban Agglomeration,pop,
556,Gangarampur,West Bengal,Municipality,pop,Class II
557,Thiruvallur,Tamil Nadu,Municipality,pop,Class II
558,Tirur,Kerala,Municipality,pop,Class II
559,Rath,Uttar Pradesh,Municipal board,pop,
560,Jatani,Odisha,Municipality,pop,Class II
561,Viramgam,Gujarat,Municipality,pop,Class II
562,Rajsamand,Rajasthan,Municipality,pop,
563,Yanam,Puducherry,Municipality,pop,Class II
564,Kottayam,Kerala,Municipality,pop,Class II
565,Panruti,Tamil Nadu,Municipality,pop,
566,Dhuri,Punjab,Municipal Council,pop,Class II
567,Namakkal,Tamil Nadu,Municipality,pop,Class II
568,Kasaragod,Kerala,Municipality,pop,Class II
569,Modasa,Gujarat,Municipality,pop,
570,Rayadurg,Andhra Pradesh,Municipality,pop,
571,Supaul,Bihar,Municipality,pop,
572,Kunnamkulam,Kerala,Municipality,pop,Class II
573,Umred,Maharashtra,Municipal Council,pop,Class II
574,Bellampalle,Telangana,Municipality,pop,Class II
575,Sibsagar,Assam,Municipal board,pop,
576,Mandi Dabwali,Haryana,Municipal Committee,pop,
577,Ottappalam,Kerala,Municipality,pop,Class II
578,Dumraon,Bihar,Notified area committee / Notified Area Council,pop,Class II
579,Samalkot,Andhra Pradesh,Municipality,pop,
580,Jaggaiahpet,Andhra Pradesh,Municipality,pop,Class II
581,Goalpara,Assam,Municipal board,pop,Class II
582,Tuni,Andhra Pradesh,Municipality,pop,Class II
583,Lachhmangarh,Rajasthan,Municipality,pop,Class II
584,Bhongir,Telangana,Municipality,pop,Class II
585,Amalapuram,Andhra Pradesh,Municipality,pop,Class II
586,Firozpur Cantt.,Punjab,Cantonment Board / Cantonment,pop,Class II
587,Vikarabad,Telangana,Municipality,pop,Class II
588,Thiruvalla,Kerala,Municipality,pop,Class II
589,Sherkot,Uttar Pradesh,Municipal board,pop,
590,Palghar,Maharashtra,Municipal Council,pop,
591,Shegaon,Maharashtra,Municipal Council,pop,
592,Jangaon,Telangana,Municipality,pop,Class II
593,Bheemunipatnam,Andhra Pradesh,Municipality,pop,Class II
594,Panna,Madhya Pradesh,Urban Agglomeration,pop,
595,Thodupuzha,Kerala,Municipality,pop,Class II
596,KathUrban Agglomeration,Jammu and Kashmir,Municipal Council,pop,Class II
597,Palitana,Gujarat,Municipality,pop,
598,Arwal,Bihar,Nagar Panchayat.,pop,Class II
599,Venkatagiri,Andhra Pradesh,Municipality,pop,Class II
600,Kalpi,Uttar Pradesh,Nagar Palika Parishad,pop,Class II
601,Rajgarh (Churu),Rajasthan,Urban Agglomeration,pop,
602,Sattenapalle,Andhra Pradesh,Municipality,pop,
603,Arsikere,Karnataka,Town Municipal Council,pop,Class II
604,Ozar,Maharashtra,Census town,pop,Class II
605,Thirumangalam,Tamil Nadu,Municipality,pop,Class II
606,Petlad,Gujarat,Municipality,pop,
607,Nasirabad,Rajasthan,Cantonment Board / Cantonment,pop,Class II
608,Phaltan,Maharashtra,Municipal Council,pop,
609,Rampurhat,West Bengal,Municipality,pop,
610,Nanjangud,Karnataka,Town Municipal Council,pop,Class II
611,Forbesganj,Bihar,Municipality,pop,Class II
612,Tundla,Uttar Pradesh,Nagar Palika Parishad,pop,Class II
613,BhabUrban Agglomeration,Bihar,Nagar Panchayat,pop,Class II
614,Sagara,Karnataka,Town Municipal Council,pop,
615,Pithapuram,Andhra Pradesh,Municipality,pop,
616,Sira,Karnataka,Town Municipal Council,pop,
617,Bhadrachalam,Telangana,Census town,pop,Class II
618,Charkhi Dadri,Haryana,Nagar Palika Parishad,pop,Class III
619,Chatra,Jharkhand,Municipality,pop,Class III
620,Palasa Kasibugga,Andhra Pradesh,Nagar Panchayat,pop,
621,Nohar,Rajasthan,Municipality,pop,Class III
622,Yevla,Maharashtra,Municipal Council,pop,Class III
623,Sirhind Fatehgarh Sahib,Punjab,Municipal Council,pop,
624,Bhainsa,Telangana,Municipality,pop,Class III
625,Parvathipuram,Andhra Pradesh,Municipality,pop,
626,Shahade,Maharashtra,Municipal Council,pop,
627,Chalakudy,Kerala,Municipality,pop,Class III
628,Narkatiaganj,Bihar,Nagar Parishad,pop,Class III
629,Kapadvanj,Gujarat,Municipality,pop,Class III
630,Macherla,Andhra Pradesh,Municipality,pop,
631,Raghogarh-Vijaypur,Madhya Pradesh,Municipality,pop,
632,Rupnagar,Punjab,Municipal Council,pop,
633,Naugachhia,Bihar,Nagar Panchayat,pop,Class III
634,Sendhwa,Madhya Pradesh,Municipality,pop,
635,Byasanagar,Odisha,Municipality,pop,Class III
636,Sandila,Uttar Pradesh,Municipal board,pop,
637,Gooty,Andhra Pradesh,Census town,pop,Class III
638,Salur,Andhra Pradesh,Municipality,pop,
639,Nanpara,Uttar Pradesh,Nagar Palika Parishad,pop,Class III
640,Sardhana,Uttar Pradesh,Municipal board,pop,
641,Vita,Maharashtra,Municipal Council,pop,Class III
642,Gumia,Jharkhand,Census town,pop,Class III
643,Puttur,Karnataka,Town Municipal Council,pop,
644,Jalandhar Cantt.,Punjab,Cantonment Board / Cantonment,pop,Class III
645,Nehtaur,Uttar Pradesh,Nagar Palika Parishad,pop,Class III
646,Changanassery,Kerala,Municipality,pop,Class III
647,Mandapeta,Andhra Pradesh,Municipality,pop,
648,Dumka,Jharkhand,Notified area committee / Notified Area Council,pop,Class III
649,Seohara,Uttar Pradesh,Urban Agglomeration,pop,
650,Umarkhed,Maharashtra,Municipal Council,pop,Class III
651,Madhupur,Jharkhand,Municipality,pop,
652,Vikramasingapuram,Tamil Nadu,Municipality,pop,Class III
653,Punalur,Kerala,Municipality,pop,
654,Kendrapara,Odisha,Municipality,pop,Class III
655,Sihor,Gujarat,Municipality,pop,
656,Nellikuppam,Tamil Nadu,Municipality,pop,Class III
657,Samana,Punjab,Municipal Council,pop,
658,Warora,Maharashtra,Municipal Council,pop,Class III
659,Nilambur,Kerala,Census town,pop,Class III
660,Rasipuram,Tamil Nadu,Municipality,pop,
661,Ramnagar,Uttarakhand,Municipal board,pop,
662,Jammalamadugu,Andhra Pradesh,Nagar Panchayat,pop,Class III
663,Nawanshahr,Punjab,Municipal Council,pop,Class III
664,Thoubal,Manipur,Municipal Council,pop,Class III
665,Athni,Karnataka,Town Municipal Council,pop,Class III
666,Cherthala,Kerala,Municipality,pop,Class III
667,Sidhi,Madhya Pradesh,Municipality,pop,
668,Farooqnagar,Telangana,Census town.,pop,Class III
669,Peddapuram,Andhra Pradesh,Municipality,pop,
670,Chirkunda,Jharkhand,Nagar Panchayat,pop,Class III
671,Pachora,Maharashtra,Municipal Council,pop,
672,Madhepura,Bihar,Municipality,pop,
673,Pithoragarh,Uttarakhand,Municipal board,pop,
674,Tumsar,Maharashtra,Municipal Council,pop,Class III
675,Phalodi,Rajasthan,Urban Agglomeration,pop,
676,Tiruttani,Tamil Nadu,Municipality,pop,Class III
677,Rampura Phul,Punjab,Urban Agglomeration,pop,
678,Perinthalmanna,Kerala,Municipality,pop,
679,Padrauna,Uttar Pradesh,Municipal board,pop,
680,Pipariya,Madhya Pradesh,Urban Agglomeration,pop,
681,Dalli-Rajhara,Chhattisgarh,Municipality,pop,Class III
682,Punganur,Andhra Pradesh,Nagar Panchayat,pop,
683,Mattannur,Kerala,Municipality,pop,
684,Mathura,Uttar Pradesh,Municipality,pop,
685,Thakurdwara,Uttar Pradesh,Nagar Palika Parishad.,pop,Class III
686,Nandivaram-Guduvancheri,Tamil Nadu,Town Panchayat,pop,Class III
687,Mulbagal,Karnataka,Town Municipal Council,pop,
688,Manjlegaon,Maharashtra,Municipal Council,pop,
689,Wankaner,Gujarat,Municipality,pop,Class III
690,Sillod,Maharashtra,Municipal Council,pop,
691,Nidadavole,Andhra Pradesh,Municipality,pop,Class III
692,Surapura,Karnataka,Town Municipal Council,pop,
693,Rajagangapur,Odisha,Municipality,pop,
694,Sheikhpura,Bihar,Municipality,pop,
695,Parlakhemundi,Odisha,Municipality,pop,
696,Kalimpong,West Bengal,Municipality,pop,Class III
697,Siruguppa,Karnataka,Town Panchayat,pop,
698,Arvi,Maharashtra,Municipal Council,pop,Class III
699,Limbdi,Gujarat,Municipality,pop,Class III
700,Barpeta,Assam,Municipal board,pop,Class III
701,Manglaur,Uttarakhand,Municipal board,pop,
702,Repalle,Andhra Pradesh,Municipality,pop,
703,Mudhol,Karnataka,Town Municipal Council,pop,
704,Shujalpur,Madhya Pradesh,Municipality,pop,
705,Mandvi,Gujarat,Municipality,pop,
706,Thangadh,Gujarat,Municipality,pop,Class III
707,Sironj,Madhya Pradesh,Municipality,pop,
708,Nandura,Maharashtra,Municipal Council,pop,Class III
709,Shoranur,Kerala,Municipality,pop,
710,Nathdwara,Rajasthan,Municipality,pop,Class III
711,Periyakulam,Tamil Nadu,Municipality,pop,
712,Sultanganj,Bihar,Notified area,pop,
713,Medak,Telangana,Nagar Panchayat,pop,
714,Narayanpet,Telangana,Nagar Panchayat,pop,Class III
715,Raxaul Bazar,Bihar,Municipality,pop,
716,Rajauri,Jammu and Kashmir,Notified area committee / Notified Area Council,pop,
717,Pernampattu,Tamil Nadu,Town Panchayat,pop,
718,Nainital,Uttarakhand,Nagar Palika Parishad,pop,Class III
719,Ramachandrapuram,Andhra Pradesh,Municipality,pop,
720,Vaijapur,Maharashtra,Municipal Council,pop,Class III
721,Nangal,Punjab,Municipal Council,pop,Class III
722,Sidlaghatta,Karnataka,Town Municipal Council,pop,
723,Punch,Jammu and Kashmir,Municipal board,pop,
724,Pandhurna,Madhya Pradesh,Municipality,pop,
725,Wadgaon Road,Maharashtra,Census town.,pop,Class III
726,Talcher,Odisha,Municipality,pop,Class III
727,Varkala,Kerala,Municipality,pop,Class III
728,Pilani,Rajasthan,Urban Agglomeration,pop,
729,Nowgong,Madhya Pradesh,Municipality,pop,Class III
730,Naila Janjgir,Chhattisgarh,Municipality,pop,Class III
731,Mapusa,Goa,Municipal Council,pop,
732,Vellakoil,Tamil Nadu,Municipality,pop,Class III
733,Merta City,Rajasthan,Municipality,pop,
734,Sivaganga,Tamil Nadu,Urban Agglomeration,pop,
735,Mandideep,Madhya Pradesh,Municipality,pop,
736,Sailu,Maharashtra,Municipal Council,pop,
737,Vyara,Gujarat,Municipality,pop,Class III
738,Kovvur,Andhra Pradesh,Municipality,pop,Class III
739,Vadalur,Tamil Nadu,Town Panchayat,pop,Class III
740,Nawabganj,Uttar Pradesh,Nagar Palika Parishad,pop,Class III
741,Padra,Gujarat,Urban Agglomeration,pop,
742,Sainthia,West Bengal,Municipality,pop,
743,Siana,Uttar Pradesh,Municipal board,pop,
744,Shahpur,Karnataka,Town Municipal Council,pop,
745,Sojat,Rajasthan,Municipality,pop,
746,Noorpur,Uttar Pradesh,Nagar Palika Parishad,pop,Class III
747,Paravoor,Kerala,Municipality,pop,
748,Murtijapur,Maharashtra,Municipal Council,pop,
749,Ramnagar,Bihar,Notified area,pop,
750,Sundargarh,Odisha,Municipality,pop,
751,Taki,West Bengal,Municipality,pop,Class III
752,Saundatti-Yellamma,Karnataka,Town Municipal Council,pop,
753,Pathanamthitta,Kerala,Municipality,pop,
754,Wadi,Karnataka,Town Municipal Council,pop,Class III
755,Rameshwaram,Tamil Nadu,Town Panchayat,pop,
756,Tasgaon,Maharashtra,Municipal Council,pop,Class III
757,Sikandra Rao,Uttar Pradesh,Municipal board,pop,
758,Sihora,Madhya Pradesh,Municipality,pop,
759,Tiruvethipuram,Tamil Nadu,Municipality,pop,Class III
760,Tiruvuru,Andhra Pradesh,Municipality,pop,Class III
761,Mehkar,Maharashtra,Municipal Council,pop,
762,Peringathur,Kerala,Census town,pop,
763,Perambalur,Tamil Nadu,Town Panchayat,pop,
764,Manvi,Karnataka,Town Municipal Council,pop,
765,Zunheboto,Nagaland,Town Committee / Town Area Committee,pop,Class III
766,Mahnar Bazar,Bihar,Municipality,pop,
767,Attingal,Kerala,Municipality,pop,Class III
768,Shahbad,Haryana,Municipal Committee,pop,
769,Puranpur,Uttar Pradesh,Municipal board,pop,
770,Nelamangala,Karnataka,Town Municipal Council,pop,Class III
771,Nakodar,Punjab,Municipal Council,pop,Class III
772,Lunawada,Gujarat,Municipality,pop,Class III
773,Murshidabad,West Bengal,Municipality,pop,
774,Mahe,Puducherry,Municipality,pop,
775,Lanka,Assam,Municipal board,pop,Class III
776,Rudauli,Uttar Pradesh,Municipal board,pop,
777,Tuensang,Nagaland,Town Committee / Town Area Committee,pop,Class III
778,Lakshmeshwar,Karnataka,Town Municipal Council,pop,Class III
779,Zira,Punjab,Municipal Council,pop,Class III
780,Yawal,Maharashtra,Municipal Council,pop,Class III
781,Thana Bhawan,Uttar Pradesh,Nagar Panchayat.,pop,Class III
782,Ramdurg,Karnataka,Urban Agglomeration,pop,
783,Pulgaon,Maharashtra,Municipal Council,pop,
784,Sadasivpet,Telangana,Municipality,pop,
785,Nargund,Karnataka,Town Municipal Council,pop,Class III
