No,City,State,Type,Population,Population class
786,Neem-Ka-Thana,Rajasthan,Municipality,pop,Class III
787,Memari,West Bengal,Municipality,pop,
788,Nilanga,Maharashtra,Municipal Council,pop,Class III
789,Naharlagun,Arunachal Pradesh,Notified Town,pop,Class III
790,Pakaur,Jharkhand,Municipality,pop,
791,Wai,Maharashtra,Municipal Council,pop,Class III
792,Tarikere,Karnataka,Town Municipal Council,pop,Class III
793,Malavalli,Karnataka,Town Municipal Council,pop,
794,Raisen,Madhya Pradesh,Municipality,pop,
795,Lahar,Madhya Pradesh,Nagar Panchayat,pop,Class III
796,Uravakonda,Andhra Pradesh,Census town,pop,Class III
797,Savanur,Karnataka,Town Municipal Council,pop,
798,Sirohi,Rajasthan,Municipality,pop,
799,Udhampur,Jammu and Kashmir,Urban Agglomeration,pop,Class III
800,Umarga,Maharashtra,Municipal Council,pop,Class III
801,Pratapgarh,Rajasthan,Municipality,pop,
802,Lingsugur,Karnataka,Town Municipal Council,pop,Class III
803,Usilampatti,Tamil Nadu,Municipality,pop,Class III
804,Palia Kalan,Uttar Pradesh,Municipal board,pop,
805,Wokha,Nagaland,Town Committee / Town Area Committee.,pop,Class III
806,Rajpipla,Gujarat,Municipality,pop,
807,Vijayapura,Karnataka,Town Municipal Council,pop,Class III
808,Rawatbhata,Rajasthan,Municipality,pop,
809,Sangaria,Rajasthan,Municipality,pop,
810,Paithan,Maharashtra,Municipal Council,pop,
811,Rahuri,Maharashtra,Municipal Council,pop,
812,Patti,Punjab,Municipal Council,pop,
813,Zaidpur,Uttar Pradesh,Nagar Panchayat,pop,Class III
814,Lalsot,Rajasthan,Municipality,pop,Class III
815,Maihar,Madhya Pradesh,Municipality,pop,
816,Vedaranyam,Tamil Nadu,Municipality,pop,Class III
817,Nawapur,Maharashtra,Municipal Council,pop,Class III
818,Solan,Himachal Pradesh,Municipal Council,pop,
819,Vapi,Gujarat,Industrial Notified Area,pop,Class III
820,Sanawad,Madhya Pradesh,Municipality,pop,
821,Warisaliganj,Bihar,Nagar Panchayat.,pop,Class III
822,Revelganj,Bihar,Municipality,pop,
823,Sabalgarh,Madhya Pradesh,Urban Agglomeration,pop,
824,Tuljapur,Maharashtra,Municipal Council,pop,Class III
825,Simdega,Jharkhand,Notified area,pop,
826,Musabani,Jharkhand,Census town,pop,
827,Kodungallur,Kerala,Municipality,pop,Class III
828,Phulabani,Odisha,Notified area committee / Notified Area Council,pop,
829,Umreth,Gujarat,Municipality,pop,Class III
830,Narsipatnam,Andhra Pradesh,Census town,pop,Class III
831,Nautanwa,Uttar Pradesh,Nagar Palika Parishad,pop,Class III
832,Rajgir,Bihar,Notified area,pop,
833,Yellandu,Telangana,Municipality,pop,Class III
834,Sathyamangalam,Tamil Nadu,Municipality,pop,
835,Pilibanga,Rajasthan,Municipality,pop,
836,Morshi,Maharashtra,Municipal Council,pop,
837,Pehowa,Haryana,Municipal Committee,pop,
838,Sonepur,Bihar,Notified area,pop,
839,Pappinisseri,Kerala,Census town,pop,
840,Zamania,Uttar Pradesh,Nagar Panchayat,pop,Class III
841,Mihijam,Jharkhand,Notified area,pop,
842,Purna,Maharashtra,Municipal Council,pop,
843,Puliyankudi,Tamil Nadu,Municipality,pop,
844,pop,
845,Umaria,Madhya Pradesh,Municipality,pop,Class III
846,Porsa,Madhya Pradesh,Municipality,pop,
847,Naugawan Sadat,Uttar Pradesh,Nagar Panchayat,pop,Class III
848,Fatehpur Sikri,Uttar Pradesh,Municipal board.,pop,Class III
849,Manuguru,Telangana,Census town,pop,
850,Udaipur,Tripura,Municipal Council,pop,Class III
851,Pipar City,Rajasthan,Municipality,pop,
852,Pattamundai,Odisha,Notified area committee / Notified Area Council,pop,
853,Nanjikottai,Tamil Nadu,Census town,pop,Class III
854,Taranagar,Rajasthan,Municipality,pop,Class III
855,Yerraguntla,Andhra Pradesh,Census town,pop,Class III
856,Satana,Maharashtra,Municipal Council,pop,
857,Sherghati,Bihar,Notified area,pop,
858,Sankeshwara,Karnataka,Town Municipal Council,pop,
859,Madikeri,Karnataka,Town Municipal Council,pop,
860,Thuraiyur,Tamil Nadu,Municipality,pop,Class III
861,Sanand,Gujarat,Municipality,pop,
862,Rajula,Gujarat,Municipality,pop,
863,Kyathampalle,Telangana,Census town,pop,Class III
864,pop,
865,Tilda Newra,Chhattisgarh,Municipality,pop,Class III
866,Narsinghgarh,Madhya Pradesh,Municipality,pop,Class III
867,Chittur-Thathamangalam,Kerala,Municipality,pop,Class III
868,Malaj Khand,Madhya Pradesh,Municipality,pop,
869,Sarangpur,Madhya Pradesh,Municipality,pop,
870,Robertsganj,Uttar Pradesh,Municipal board,pop,
871,Sirkali,Tamil Nadu,Municipality,pop,
872,Radhanpur,Gujarat,Municipality,pop,
873,Tiruchendur,Tamil Nadu,Town Panchayat,pop,Class III
874,Utraula,Uttar Pradesh,Nagar Palika Parishad.,pop,Class III
875,Patratu,Jharkhand,Census town,pop,
876,pop,Class III
877,Periyasemur,Tamil Nadu,Town Panchayat,pop,
878,Pathri,Maharashtra,Municipal Council,pop,
879,Sadabad,Uttar Pradesh,Nagar Panchayat,pop,
880,Talikota,Karnataka,Town Municipal Council,pop,Class III
881,Sinnar,Maharashtra,Municipal Council,pop,
882,Mungeli,Chhattisgarh,Urban Agglomeration,pop,
883,Sedam,Karnataka,Town Municipal Council,pop,
884,Shikaripur,Karnataka,Town Municipal Council,pop,
885,Sumerpur,Rajasthan,Municipality,pop,
886,Sattur,Tamil Nadu,Municipality,pop,
887,Sugauli,Bihar,Notified area,pop,
888,Lumding,Assam,Municipal board,pop,Class III
889,Vandavasi,Tamil Nadu,Municipality,pop,Class III
890,Titlagarh,Odisha,Notified area committee / Notified Area Council ,pop,Class III
891,Uchgaon,Maharashtra,Census town,pop,Class III
892,Mokokchung,Nagaland,Town Committee / Town Area Committee,pop,
893,Paschim Punropara,West Bengal,Census town,pop,
894,Sagwara,Rajasthan,Municipality,pop,
895,Ramganj Mandi,Rajasthan,Municipality,pop,
896,Tarakeswar,West Bengal,Municipality,pop,Class III
897,Mahalingapura,Karnataka,Town Municipal Council,pop,
898,Dharmanagar,Tripura,Municipal Council,pop,Class III
899,Mahemdabad,Gujarat,Municipality,pop,
900,Manendragarh,Chhattisgarh,Municipality,pop,
901,Uran,Maharashtra,Municipal Council,pop,Class III
902,Tharamangalam,Tamil Nadu,Town Panchayat,pop,Class III
903,Tirukkoyilur,Tamil Nadu,Town Panchayat,pop,Class III
904,Pen,Maharashtra,Municipal Council,pop,
905,Makhdumpur,Bihar,Notified area,pop,
906,Maner,Bihar,Notified area,pop,
907,Oddanchatram,Tamil Nadu,Town Panchayat,pop,Class III
908,Palladam,Tamil Nadu,Town Panchayat,pop,
909,Mundi,Madhya Pradesh,Nagar Panchayat,pop,
910,Nabarangapur,Odisha,Municipality,pop,Class III
911,Mudalagi,Karnataka,Town Municipal Council,pop,
912,Samalkha,Haryana,Municipal Committee,pop,
913,Nepanagar,Madhya Pradesh,Municipality,pop,Class III
914,Karjat,Maharashtra,Municipal Council,pop,Class III
915,Ranavav,Gujarat,Urban Agglomeration,pop,
916,Pedana,Andhra Pradesh,Nagar Panchayat,pop,
917,Pinjore,Haryana,Urban Agglomeration,pop,
918,Lakheri,Rajasthan,Municipality,pop,Class III
919,Pasan,Madhya Pradesh,Municipality,pop,
920,Puttur,Andhra Pradesh,Census town,pop,
921,Vadakkuvalliyur,Tamil Nadu,Town Panchayat,pop,Class III
922,Tirukalukundram,Tamil Nadu,Town Panchayat,pop,Class III
923,Mahidpur,Madhya Pradesh,Urban Agglomeration,pop,
924,Mussoorie,Uttarakhand,Urban Agglomeration,pop,
925,Muvattupuzha,Kerala,Municipality,pop,
926,Rasra,Uttar Pradesh,Municipal board,pop,
927,Udaipurwati,Rajasthan,Municipality,pop,Class III
928,Manwath,Maharashtra,Municipal Council,pop,
929,Adoor,Kerala,Municipality,pop,Class III
930,Uthamapalayam,Tamil Nadu,Town Panchayat,pop,Class III
931,Partur,Maharashtra,Municipal Council,pop,
932,Nahan,Himachal Pradesh,Municipal Council,pop,Class III
933,Ladwa,Haryana,Municipal Committee,pop,Class III
934,Mankachar,Assam,Census town,pop,
935,Nongstoin,Meghalaya,Town Committee / Town Area Committee,pop,Class III
936,Losal,Rajasthan,Municipality,pop,Class III
937,Sri Madhopur,Rajasthan,Municipality,pop,
938,Ramngarh,Rajasthan,Municipality,pop,
939,Mavelikkara,Kerala,Municipality,pop,
940,Rawatsar,Rajasthan,Municipality,pop,
941,Rajakhera,Rajasthan,Municipality,pop,
942,Lar,Uttar Pradesh,Nagar Panchayat,pop,Class III
943,Lal Gopalganj Nindaura,Uttar Pradesh,Nagar Panchayat,pop,Class III
944,Muddebihal,Karnataka,Town Municipal Council,pop,
945,Sirsaganj,Uttar Pradesh,Urban Agglomeration,pop,
946,Shahpura,Rajasthan,Municipality,pop,
947,Surandai,Tamil Nadu,Town Panchayat,pop,
948,Sangole,Maharashtra,Municipal Council,pop,
949,Pavagada,Karnataka,Town Panchayat,pop,
950,Tharad,Gujarat,Municipality,pop,Class III
951,Mansa,Gujarat,Municipality,pop,
952,Umbergaon,Gujarat,Municipality,pop,Class III
953,Mavoor,Kerala,Census town,pop,
954,Nalbari,Assam,Municipal board,pop,Class III
955,Talaja,Gujarat,Municipality,pop,Class III
956,Malur,Karnataka,Town Municipal Council,pop,
957,Mangrulpir,Maharashtra,Municipal Council,pop,
958,Soro,Odisha,Notified area committee / Notified Area Council,pop,
959,Shahpura,Rajasthan,Municipality,pop,
960,Vadnagar,Gujarat,Municipality,pop,Class III
961,Raisinghnagar,Rajasthan,Municipality,pop,
962,Sindhagi,Karnataka,Town Municipal Council,pop,
963,Sanduru,Karnataka,Town Panchayat,pop,
964,Sohna,Haryana,Municipal Committee,pop,
965,Manavadar,Gujarat,Municipality,pop,
966,Pihani,Uttar Pradesh,Municipal board,pop,
967,Safidon,Haryana,Municipal Committee,pop,
968,Risod,Maharashtra,Municipal Council,pop,
969,Rosera,Bihar,Municipality,pop,
970,Sankari,Tamil Nadu,Town Panchayat,pop,
971,Malpura,Rajasthan,Urban Agglomeration,pop,
972,Sonamukhi,West Bengal,Municipality,pop,
973,pop,
974,Nokha,Bihar,Nagar Panchayat,pop,Class III
975,PandUrban Agglomeration,West Bengal,Census town,pop,
976,Mainaguri,West Bengal,Census town,pop,
977,Afzalpur,Karnataka,Town Panchayat,pop,Class III
978,Shirur,Maharashtra,Municipal Council,pop,
979,Salaya,Gujarat,Municipality,pop,
980,Shenkottai,Tamil Nadu,Municipality,pop,
981,Pratapgarh,Tripura,Census town,pop,
982,Vadipatti,Tamil Nadu,Town Panchayat,pop,Class III
983,Nagarkurnool,Telangana,Census town,pop,Class III
984,Savner,Maharashtra,Municipal Council,pop,
985,Sasvad,Maharashtra,Municipal Council,pop,
986,Rudrapur,Uttar Pradesh,Nagar Panchayat,pop,
987,Soron,Uttar Pradesh,Municipal board,pop,
988,Sholingur,Tamil Nadu,Town Panchayat,pop,
989,Pandharkaoda,Maharashtra,Municipal Council,pop,
990,Perumbavoor,Kerala,Municipality,pop,
991,Maddur,Karnataka,Town Municipal Council,pop,
992,Nadbai,Rajasthan,Municipality,pop,Class III
993,Talode,Maharashtra,Municipal Council,pop,Class III
994,Shrigonda,Maharashtra,Municipal Council,pop,
995,Madhugiri,Karnataka,Town Municipal Council,pop,
996,Tekkalakote,Karnataka,Town Panchayat,pop,Class III
997,Seoni-Malwa,Madhya Pradesh,Municipality,pop,
998,Shirdi,Maharashtra,Municipal Council,pop,
999,SUrban Agglomerationr,Uttar Pradesh,Municipal board,pop,
1000,Terdal,Karnataka,Town Municipal Council,pop,Class III
1001,Raver,Maharashtra,Municipal Council,pop,
1002,Tirupathur,Tamil Nadu,Town Panchayat,pop,Class III
1003,Taraori,Haryana,Municipal Committee.,pop,Class III
1004,Mukhed,Maharashtra,Municipal Council,pop,
1005,Manachanallur,Tamil Nadu,Town Panchayat,pop,
1006,Rehli,Madhya Pradesh,Municipality,pop,
1007,Sanchore,Rajasthan,Municipality,pop,
1008,Rajura,Maharashtra,Municipal Council,pop,
1009,Piro,Bihar,Notified area,pop,
1010,Mudabidri,Karnataka,Town Municipal Council,pop,
1011,Vadgaon Kasba,Maharashtra,Municipal Council,pop,Class III
1012,Nagar,Rajasthan,Municipality,pop,Class III
1013,Vijapur,Gujarat,Municipality,pop,Class III
1014,Viswanatham,Tamil Nadu,Census town,pop,Class III
1015,Polur,Tamil Nadu,Town Panchayat,pop,
1016,Panagudi,Tamil Nadu,Town Panchayat,pop,
1017,Manawar,Madhya Pradesh,Municipality,pop,
1018,Tehri,Uttarakhand,Nagar Palika Parishad.,pop,Class III
1019,Samdhan,Uttar Pradesh,Nagar Panchayat,pop,
1020,Pardi,Gujarat,Municipality,pop,
1021,Rahatgarh,Madhya Pradesh,Nagar Panchayat,pop,
1022,Panagar,Madhya Pradesh,Municipality,pop,
1023,Uthiramerur,Tamil Nadu,Town Panchayat,pop,Class III
1024,Tirora,Maharashtra,Municipal Council,pop,Class III
1025,Rangia,Assam,Municipal board,pop,
1026,Sahjanwa,Uttar Pradesh,Nagar Panchayat,pop,
1027,Wara Seoni,Madhya Pradesh,Municipality,pop,Class III
1028,Magadi,Karnataka,Town Municipal Council,pop,
1029,Rajgarh (Alwar),Rajasthan,Municipality,pop,
1030,Rafiganj,Bihar,Notified area,pop,
1031,Tarana,Madhya Pradesh,Nagar Panchayat,pop,Class III
1032,Rampur Maniharan,Uttar Pradesh,Nagar Panchayat,pop,
1033,Sheoganj,Rajasthan,Municipality,pop,
1034,Raikot,Punjab,Municipal Council,pop,
1035,Pauri,Uttarakhand,Municipal board,pop,
1036,Sumerpur,Uttar Pradesh,Nagar Panchayat,pop,
1037,Navalgund,Karnataka,Town Municipal Council,pop,Class III
1038,Shahganj,Uttar Pradesh,Municipal board,pop,
1039,Marhaura,Bihar,Notified area,pop,
1040,Tulsipur,Uttar Pradesh,Nagar Panchayat,pop,Class III
1041,Sadri,Rajasthan,Municipality,pop,
1042,Thiruthuraipoondi,Tamil Nadu,Municipality,pop,Class III
1043,Shiggaon,Karnataka,Town Panchayat,pop,
1044,Pallapatti,Tamil Nadu,Census town,pop,
1045,Mahendragarh,Haryana,Municipal Committee,pop,
1046,Sausar,Madhya Pradesh,Nagar Panchayat,pop,
1047,Ponneri,Tamil Nadu,Town Panchayat,pop,
1048,Mahad,Maharashtra,Municipal Council,pop,
1049,Lohardaga,Jharkhand,Municipal Council,pop,Class III
1050,Tirwaganj,Uttar Pradesh,Nagar Panchayat,pop,Class III
1051,Margherita,Assam,Census town,pop,
1052,Sundarnagar,Himachal Pradesh,Municipal Council,pop,
1053,Rajgarh,Madhya Pradesh,Nagar Panchayat,pop,
1054,Mangaldoi,Assam,Municipal board,pop,
1055,Renigunta,Andhra Pradesh,Census town,pop,
1056,Longowal,Punjab,Municipal Council,pop,Class III
1057,Ratia,Haryana,Municipal Committee,pop,
1058,Lalgudi,Tamil Nadu,Town Panchayat,pop,Class III
1059,Shrirangapattana,Karnataka,Town Municipal Council,pop,
1060,Niwari,Madhya Pradesh,Nagar Panchayat,pop,Class III
1061,Natham,Tamil Nadu,Town Panchayat,pop,Class III
1062,Unnamalaikadai,Tamil Nadu,Town Panchayat,pop,Class III
1063,PurqUrban Agglomerationzi,Uttar Pradesh,Urban Agglomeration,pop,
1064,pop,
1065,Mirganj,Bihar,Notified area,pop,
1066,Todaraisingh,Rajasthan,Municipality,pop,Class III
1067,Warhapur,Uttar Pradesh,Nagar Panchayat.,pop,Class III
1068,Rajam,Andhra Pradesh,Census town,pop,
1069,Urmar Tanda,Punjab,Municipal Council,pop,Class III
1070,Lonar,Maharashtra,Municipal Council,pop,Class III
1071,Powayan,Uttar Pradesh,Nagar Panchayat,pop,
1072,P.N.Patti,Tamil Nadu,Town Panchayat,pop,
1073,Palampur,Himachal Pradesh,Town Panchayat,pop,
1074,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,Census town,pop,
1075,Sindagi,Karnataka,Town Municipal Council,pop,
1076,Sandi,Uttar Pradesh,Municipal board,pop,
1077,Vaikom,Kerala,Municipality,pop,Class III
1078,Malda,West Bengal,Municipality,pop,
1079,Tharangambadi,Tamil Nadu,Town Panchayat,pop,Class III
1080,Sakaleshapura,Karnataka,Town Municipal Council,pop,
1081,Lalganj,Bihar,Notified area committee / Notified Area Council,pop,Class III
1082,Malkangiri,Odisha,Notified area committee / Notified Area Council,pop,
1083,Rapar,Gujarat,Municipality,pop,
1084,Mauganj,Madhya Pradesh,Nagar Panchayat,pop,
1085,Todabhim,Rajasthan,Municipality,pop,Class III
1086,Srinivaspur,Karnataka,Town Panchayat,pop,
1087,Murliganj,Bihar,Notified area,pop,
1088,Reengus,Rajasthan,Municipality,pop,
1089,Sawantwadi,Maharashtra,Municipal Council,pop,
1090,Tittakudi,Tamil Nadu,Town Panchayat,pop,Class III
1091,Lilong,Manipur,Nagar Panchayat,pop,Class III
1092,Rajaldesar,Rajasthan,Municipality,pop,
1093,Pathardi,Maharashtra,Municipal Council,pop,
1094,Achhnera,Uttar Pradesh,Nagar Panchayat.,pop,Class III
1095,Pacode,Tamil Nadu,Town Panchayat,pop,
1096,Naraura,Uttar Pradesh,Nagar Panchayat,pop,Class III
1097,Nakur,Uttar Pradesh,Nagar Palika Parishad,pop,Class III
1098,Palai,Kerala,Municipality,pop,
1099,pop,
1100,Manasa,Madhya Pradesh,Nagar Panchayat,pop,
1101,Nainpur,Madhya Pradesh,Municipality,pop,Class III
1102,Sahaspur,Uttar Pradesh,Nagar Panchayat,pop,
1103,Pauni,Maharashtra,Municipal Council,pop,
1104,Prithvipur,Madhya Pradesh,Nagar Panchayat,pop,
1105,Ramtek,Maharashtra,Municipal Council,pop,
1106,Silapathar,Assam,Town Committee / Town Area Committee,pop,
1107,Songadh,Gujarat,Municipality,pop,
1108,Safipur,Uttar Pradesh,Nagar Panchayat,pop,
1109,Sohagpur,Madhya Pradesh,Nagar Panchayat,pop,
1110,Mul,Maharashtra,Municipal Council,pop,
1111,Sadulshahar,Rajasthan,Municipality,pop,
1112,Phillaur,Punjab,Municipal Council,pop,
1113,Sambhar,Rajasthan,Municipality,pop,
1114,Prantij,Rajasthan,Municipality,pop,
1115,Nagla,Uttarakhand,Census town,pop,Class III
1116,Pattran,Punjab,Nagar Panchayat,pop,
1117,Mount Abu,Rajasthan,Municipality,pop,
1118,Reoti,Uttar Pradesh,Nagar Panchayat,pop,
1119,Tenu dam-cum-Kathhara,Jharkhand,Census town.,pop,Class III
1120,Panchla,West Bengal,Census town,pop,
1121,Sitarganj,Uttarakhand,Municipal board,pop,
1122,Pasighat,Arunachal Pradesh,Census town,pop,
1123,Motipur,Bihar,Notified area,pop,
1124,O' Valley,Tamil Nadu,Town Panchayat,pop,Class III
1125,Raghunathpur,West Bengal,Municipality,pop,
1126,Suriyampalayam,Tamil Nadu,Town Panchayat,pop,
1127,Qadian,Punjab,Municipal Council,pop,Class III
1128,Rairangpur,Odisha,Notified area committee / Notified Area Council,pop,
1129,Silvassa,Dadra and Nagar Haveli,Census town,pop,
1130,Nowrozabad (Khodargama),Madhya Pradesh,Nagar Panchayat,pop,Class III
1131,Mangrol,Rajasthan,Municipality,pop,
1132,Soyagaon,Maharashtra,Census town,pop,
1133,Sujanpur,Punjab,Municipal Council,pop,
1134,Manihari,Bihar,Notified area,pop,
1135,Sikanderpur,Uttar Pradesh,Nagar Panchayat,pop,
1136,Mangalvedhe,Maharashtra,Municipal Council,pop,
1137,Phulera,Rajasthan,Municipality,pop,
1138,Ron,Karnataka,Town Panchayat,pop,
1139,Sholavandan,Tamil Nadu,Town Panchayat,pop,
1140,Saidpur,Uttar Pradesh,Nagar Panchayat,pop,
1141,Shamgarh,Madhya Pradesh,Nagar Panchayat,pop,
1142,Thammampatti,Tamil Nadu,Town Panchayat,pop,Class III
1143,Maharajpur,Madhya Pradesh,Nagar Panchayat,pop,
1144,Multai,Madhya Pradesh,Nagar Panchayat,pop,
1145,Mukerian,Punjab,Municipal Council,pop,
1146,Sirsi,Uttar Pradesh,Nagar Panchayat,pop,
1147,Purwa,Uttar Pradesh,Nagar Panchayat,pop,
1148,Sheohar,Bihar,Notified area,pop,
1149,Namagiripettai,Tamil Nadu,Town Panchayat,pop,Class III
1150,Parasi,Uttar Pradesh,Census town,pop,
1151,Lathi,Gujarat,Municipality,pop,Class III
1152,Lalganj,Uttar Pradesh,Nagar Panchayat,pop,Class III
1153,Narkhed,Maharashtra,Municipal Council,pop,Class III
1154,Mathabhanga,West Bengal,Municipality,pop,
1155,Shendurjana,Maharashtra,Municipal Council,pop,
1156,Peravurani,Tamil Nadu,Town Panchayat,pop,
1157,Mariani,Assam,Town Committee / Town Area Committee,pop,
1158,Phulpur,Uttar Pradesh,Nagar Panchayat,pop,
1159,Rania,Haryana,Municipal Committee,pop,
1160,Pali,Madhya Pradesh,Nagar Panchayat,pop,
1161,Pachore,Madhya Pradesh,Nagar Panchayat,pop,
1162,Parangipettai,Tamil Nadu,Town Panchayat,pop,
1163,Pudupattinam,Tamil Nadu,Census town,pop,
1164,Panniyannur,Kerala,Census town,pop,
1165,Maharajganj,Bihar,Notified area,pop,
1166,Rau,Madhya Pradesh,Nagar Panchayat,pop,
1167,Monoharpur,West Bengal,Census town,pop,
1168,Mandawa,Rajasthan,Municipality,pop,
1169,Marigaon,Assam,Town Committee / Town Area Committee,pop,
1170,Pallikonda,Tamil Nadu,Town Panchayat,pop,
1171,Pindwara,Rajasthan,Municipality,pop,
1172,Shishgarh,Uttar Pradesh,Nagar Panchayat,pop,
1173,Patur,Maharashtra,Municipal Council,pop,
1174,Mayang Imphal,Manipur,Nagar Panchayat,pop,
1175,Mhowgaon,Madhya Pradesh,Nagar Panchayat,pop,
1176,Guruvayoor,Kerala,Municipality,pop,Class III
1177,Mhaswad,Maharashtra,Municipal Council,pop,
1178,Sahawar,Uttar Pradesh,Nagar Panchayat,pop,
1179,Sivagiri,Tamil Nadu,Town Panchayat,pop,
1180,Mundargi,Karnataka,Town Panchayat,pop,
1181,Punjaipugalur,Tamil Nadu,Town Panchayat,pop,
1182,Kailasahar,Tripura,Nagar Panchayat,pop,Class III
1183,Samthar,Uttar Pradesh,Municipal board,pop,
1184,Sakti,Chhattisgarh,Nagar Panchayat,pop,
1185,Sadalagi,Karnataka,Town Panchayat,pop,
1186,Silao,Bihar,Notified area,pop,
1187,Mandalgarh,Rajasthan,Municipality,pop,
1188,Loha,Maharashtra,Municipal Council,pop,Class III
1189,Pukhrayan,Uttar Pradesh,Municipal board,pop,
1190,Padmanabhapuram,Tamil Nadu,Municipality,pop,
1191,Belonia,Tripura,Municipal Council,pop,Class IV
1192,Saiha,Mizoram,Notified Town,pop,
1193,Srirampore,West Bengal,,19500,
1194,Talwara,Punjab,Census town,pop,Class IV
1195,Puthuppally,Kerala,Municipality,pop,
1196,Khowai,Tripura,Municipal Council,pop,Class IV
1197,Vijaypur,Madhya Pradesh,Nagar Panchayat.,pop,Class IV
1198,Takhatgarh,Rajasthan,Municipality,pop,Class IV
1199,Thirupuvanam,Tamil Nadu,Town Panchayat,pop,Class IV
1200,Adra,West Bengal,Census town.,pop,Class IV
1201,Piriyapatna,Karnataka,Census town,pop,
1202,Obra,Uttar Pradesh,Nagar Panchayat,pop,Class IV
1203,Adalaj,Gujarat,Census town.,pop,Class IV
1204,Nandgaon,Maharashtra,Nagar Panchayat,pop,Class IV
1205,Barh,Bihar,Census town,pop,Class IV
1206,Chhapra,Gujarat,Census town,pop,Class IV
1207,Panamattom,Kerala,Notified area,pop,
1208,Niwai,Uttar Pradesh,Nagar Panchayat,pop,Class V
1209,Bageshwar,Uttarakhand,Nagar Palika Parishad,pop,Class V
1210,Tarbha,Odisha,Notified area committee / Notified Area Council.,pop,Class V
1211,Adyar,Karnataka,Census town.,pop,Class V
1212,Narsinghgarh,Madhya Pradesh,Census town,pop,Class V
1213,Warud,Maharashtra,Municipal Council,pop,Class V
1214,Asarganj,Bihar,Census town.,pop,Class V
1215,Sarsod,Haryana,Gram Panchayat,pop,
